ID,URL,Archive_ID,Title,Phrase,Negated,SpeakerName,HasPhrase,SpeakerVisible,HandsVisible,HandsFree,HandsMoving,WhichHand,HandConfig,PinchType,PinkieCurl,PalmOrientation,MovementVertical,MovementHorizontal,MovementSagittal,QuantityType,QuantityValue,VerbatimReferent,QuantityContrast,Comments
4199,http://archive.org/download/CNBC_20140908_080000_Worldwide_Exchange/CNBC_20140908_080000_Worldwide_Exchange.mp4?t=6163/6193&ignore=x.mp4,CNBC_20140908_080000_Worldwide_Exchange,"Worldwide Exchange : CNBC : September 8, 2014 4:00am-6:01am EDT",huge_number,no,hampton pearson,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2299,http://archive.org/download/CSPAN_20090701_093000/CSPAN_20090701_093000.mp4?t=1373/1403&ignore=x.mp4,CSPAN_20090701_093000,"[curator: unknown title] : CSPAN : July 1, 2009 5:30am-6:00am EDT",huge_number,no,fariborz ghadar,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,http://archive.org/download/CSPAN_20110118_120000_Washington_Journal/CSPAN_20110118_120000_Washington_Journal.mp4?t=6879/6909&ignore=x.mp4,CSPAN_20110118_120000_Washington_Journal,"Washington Journal : CSPAN : January 18, 2011 7:00am-9:59am EST",tiny_number,no,ramesh ponnuru,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,http://archive.org/download/CNNW_20130405_010000_Piers_Morgan_Live/CNNW_20130405_010000_Piers_Morgan_Live.mp4?t=2725/2755&ignore=x.mp4,CNNW_20130405_010000_Piers_Morgan_Live,"Piers Morgan Live : CNNW : April 4, 2013 6:00pm-7:00pm PDT",tiny_number,no,"piers morgan, penn jillette",yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8803,http://ia902202.us.archive.org/17/items/MSNBC_20110331_220000_MSNBC_Live/MSNBC_20110331_220000_MSNBC_Live.mp4?start=1911&end=1941&ignore=x.mp4,MSNBC_20110331_220000_MSNBC_Live,"MSNBC Live : MSNBC : March 31, 2011 6:00pm-7:00pm EDT",huge_number,no,cenk uygur,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6115,http://archive.org/download/CSPAN2_20110803_130000_U.S._Senate/CSPAN2_20110803_130000_U.S._Senate.mp4?t=9310/9340&ignore=x.mp4,CSPAN2_20110803_130000_U.S._Senate,"U.S. Senate : CSPAN2 : August 3, 2011 9:00am-12:00pm EDT",huge_number,no,fawn johnson,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3489,http://archive.org/download/CNBC_20120502_080000_Worldwide_Exchange/CNBC_20120502_080000_Worldwide_Exchange.mp4?t=1033/1063&ignore=x.mp4,CNBC_20120502_080000_Worldwide_Exchange,"Worldwide Exchange : CNBC : May 2, 2012 4:00am-6:00am EDT",huge_number,no,stephen sedgwick,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,http://archive.org/download/WMPT_20100622_220000_PBS_NewsHour/WMPT_20100622_220000_PBS_NewsHour.mp4?t=1677/1707&ignore=x.mp4,WMPT_20100622_220000_PBS_NewsHour,"PBS NewsHour : WMPT : June 22, 2010 6:00pm-7:00pm EDT",tiny_number,no,elizabeth warren,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7512,http://archive.org/download/MSNBCW_20140522_010000_The_Rachel_Maddow_Show/MSNBCW_20140522_010000_The_Rachel_Maddow_Show.mp4?t=784/814&ignore=x.mp4,MSNBCW_20140522_010000_The_Rachel_Maddow_Show,"The Rachel Maddow Show : MSNBCW : May 21, 2014 6:00pm-7:01pm PDT",huge_number,no,rachel maddow,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6587,http://archive.org/download/CSPAN_20100117_180000_C-SPAN_Weekend/CSPAN_20100117_180000_C-SPAN_Weekend.mp4?t=1902/1932&ignore=x.mp4,CSPAN_20100117_180000_C-SPAN_Weekend,"C-SPAN Weekend : CSPAN : January 17, 2010 1:00pm-6:00pm EST",huge_number,no,lloyd blankfein,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1238,http://archive.org/download/WETA_20111104_160000_Charlie_Rose/WETA_20111104_160000_Charlie_Rose.mp4?t=1062/1092&ignore=x.mp4,WETA_20111104_160000_Charlie_Rose,"Charlie Rose : WETA : November 4, 2011 12:00pm-1:00pm EDT",huge_number,no,gerald fischbach,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9246,http://archive.org/download/CSPAN2_20110212_000000_Close_Up/CSPAN2_20110212_000000_Close_Up.mp4?t=1058/1088&ignore=x.mp4,CSPAN2_20110212_000000_Close_Up,"Close Up : CSPAN2 : February 11, 2011 7:00pm-8:00pm EST",huge_number,no,darrell west,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5406,http://archive.org/download/CSPAN2_20130307_110000_Today_in_Washington/CSPAN2_20130307_110000_Today_in_Washington.mp4?t=6159/6189&ignore=x.mp4,CSPAN2_20130307_110000_Today_in_Washington,"Today in Washington : CSPAN2 : March 7, 2013 6:00am-9:00am EST",huge_number,no,william hague,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,http://archive.org/download/MSNBCW_20121229_130000_Up_W_Chris_Hayes/MSNBCW_20121229_130000_Up_W_Chris_Hayes.mp4?t=1040/1070&ignore=x.mp4,MSNBCW_20121229_130000_Up_W_Chris_Hayes,"Up W/Chris Hayes : MSNBCW : December 29, 2012 5:00am-7:00am PST",tiny_number,no,richard wolff,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7215,http://archive.org/download/SFGTV_20140423_210000/SFGTV_20140423_210000.mp4?t=475/505&ignore=x.mp4,SFGTV_20140423_210000,"SFGTV : April 23, 2014 2:00pm-2:31pm PDT",huge_number,no,iain duncan smith,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5373,http://archive.org/download/CSPAN2_20130109_010000_Tonight_From_Washington/CSPAN2_20130109_010000_Tonight_From_Washington.mp4?t=9279/9309&ignore=x.mp4,CSPAN2_20130109_010000_Tonight_From_Washington,"Tonight From Washington : CSPAN2 : January 8, 2013 8:00pm-11:00pm EST",huge_number,no,howard gleckman,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6464,http://archive.org/download/CSPAN2_20140610_083000_Key_Capitol_Hill_Hearings/CSPAN2_20140610_083000_Key_Capitol_Hill_Hearings.mp4?t=11563/11593&ignore=x.mp4,CSPAN2_20140610_083000_Key_Capitol_Hill_Hearings,"Key Capitol Hill Hearings : CSPAN2 : June 10, 2014 4:30am-8:01am EDT",huge_number,no,tim kaine,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,http://archive.org/download/CSPAN2_20100117_020000_Book_TV/CSPAN2_20100117_020000_Book_TV.mp4?t=551/581&ignore=x.mp4,CSPAN2_20100117_020000_Book_TV,"Book TV : CSPAN2 : January 16, 2010 9:00pm-10:00pm EST",tiny_number,no,atul gawande,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2231,http://archive.org/download/FOXNEWSW_20130227_020000_Hannity/FOXNEWSW_20130227_020000_Hannity.mp4?t=2498/2528&ignore=x.mp4,FOXNEWSW_20130227_020000_Hannity,"Hannity : FOXNEWSW : February 26, 2013 6:00pm-7:00pm PST",huge_number,no,sean hannity,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5839,http://archive.org/download/MSNBCW_20140823_140000_Melissa_Harris-Perry/MSNBCW_20140823_140000_Melissa_Harris-Perry.mp4?t=3288/3318&ignore=x.mp4,MSNBCW_20140823_140000_Melissa_Harris-Perry,"Melissa Harris-Perry : MSNBCW : August 23, 2014 7:00am-9:01am PDT",huge_number,no,alexander van tulleken,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
